Link,Item,Colours,Price
https://www.underarmour.com.sg/en-sg/p/men-footwear/mens_project_rock_4_training_shoes/3023695.html?dwvar_3023695_color=303&start=48&breadCrumbLast=Now%20Trending,Men's Project Rock 4 Training Shoes,2,219.0
https://www.underarmour.com.sg/en-sg/p/men-footwear/mens_ua_ignite_vi_slides/3022711.html?dwvar_3022711_color=001&start=60&breadCrumbLast=Now%20Trending,Men's UA Ignite VI Slides,5,49.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-tops/mens_ua_coolswitch_short_sleeve/1370362.html?dwvar_1370362_color=001&start=60&breadCrumbLast=Now%20Trending,Men's UA CoolSwitch Short Sleeve,4,49.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-bottoms/mens_ua_launch_sw_7_wm_shorts/1369752.html?dwvar_1369752_color=001&start=60&breadCrumbLast=Now%20Trending,Men's UA Launch SW 7'' WM Shorts,2,59.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-tops/mens_ua_rival_knit_jacket/1326761.html?dwvar_1326761_color=001&start=60&breadCrumbLast=Now%20Trending,Men's UA Rival Knit Jacket,1,69.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-tops/mens_ua_seamless_surge_short_sleeve/1370449.html?dwvar_1370449_color=600&start=60&breadCrumbLast=Now%20Trending,Men's UA Seamless Surge Short Sleeve,2,59.0
https://www.underarmour.com.sg/en-sg/p/men-footwear/curry_1_father_to_son/3026075.html?dwvar_3026075_color=500&start=60&breadCrumbLast=Now%20Trending,CURRY 1 FATHER TO SON,1,239.0
https://www.underarmour.com.sg/en-sg/p/men-accessories-bags/ua_undeniable_5.0_xs_duffle_bag/1369221.html?dwvar_1369221_color=001&start=60&breadCrumbLast=Now%20Trending,UA Undeniable 5.0 XS Duffle Bag,3,55.0
https://www.underarmour.com.sg/en-sg/p/men-footwear/unisex_ua_spawn_4_printed_basketball_shoes/3025345.html?dwvar_3025345_color=002&start=60&breadCrumbLast=Now%20Trending,Unisex UA Spawn 4 Printed Basketball Shoes,2,149.0
https://www.underarmour.com.sg/en-sg/p/men-accessories-bags/ua_loudon_ripstop_backpack/1364187.html?dwvar_1364187_color=003&start=60&breadCrumbLast=Now%20Trending,UA Loudon Ripstop Backpack,1,49.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-tops/mens_ua_seamless_lux_hoodie/1370447.html?dwvar_1370447_color=001&start=60&breadCrumbLast=Now%20Trending,Men's UA Seamless Lux Hoodie,1,89.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-tops/mens_ua_iso-chill_floral_polo/1370091.html?dwvar_1370091_color=001&start=60&breadCrumbLast=Now%20Trending,Men's UA Iso-Chill Floral Polo,3,129.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-tops/mens_ua_performance_cotton_short_sleeve/1370363.html?dwvar_1370363_color=001&start=60&breadCrumbLast=Now%20Trending,Men's UA Performance Cotton Short Sleeve,7,39.0
https://www.underarmour.com.sg/en-sg/p/men-accessories-bags/unisex_ua_halftime_backpack/1362365.html?dwvar_1362365_color=001&start=72&breadCrumbLast=Now%20Trending,Unisex UA Halftime Backpack,3,59.0
https://www.underarmour.com.sg/en-sg/p/men-accessories-bags/ua_hustle_5.0_backpack/1361176.html?dwvar_1361176_color=001&start=72&breadCrumbLast=Now%20Trending,UA Hustle 5.0 Backpack,5,79.0
